run_order,db_size_gb,io_method,replicate,treatment_id,db_name,block_id,design_type,estimated_runtime_min,cooldown_min,cumulative_time_min,cumulative_time_hours,status,actual_runtime_sec,execution_timestamp,qphh_result,power_result,throughput_result
1,1.0,bgworkers,1,1GB_bgworkers,tpch_db_1gb,NA,CRD,30,1,31,0.52,COMPLETED,72,2025-11-08 13:51:41,6793.18,,
2,0.01,bgworkers,3,10MB_bgworkers,tpch_db_10mb,NA,CRD,30,1,62,1.03,COMPLETED,27,2025-11-08 13:54:11,5446.69,,
3,10.0,sync,6,10GB_sync,tpch_db_10gb,NA,CRD,30,1,93,1.55,COMPLETED,574,2025-11-08 13:55:57,2119.45,,
4,0.01,iouring,3,10MB_iouring,tpch_db_10mb,NA,CRD,30,1,124,2.07,COMPLETED,27,2025-11-08 14:06:52,5435.09,,
5,1.0,bgworkers,6,1GB_bgworkers,tpch_db_1gb,NA,CRD,30,1,155,2.58,COMPLETED,70,2025-11-08 14:08:38,6545.56,,
6,0.01,iouring,5,10MB_iouring,tpch_db_10mb,NA,CRD,30,1,186,3.10,COMPLETED,27,2025-11-08 14:11:08,5569.49,,
7,1.0,sync,1,1GB_sync,tpch_db_1gb,NA,CRD,30,1,217,3.62,COMPLETED,69,2025-11-08 14:12:54,6607.18,,
8,0.1,bgworkers,3,100MB_bgworkers,tpch_db_100mb,NA,CRD,30,1,248,4.13,COMPLETED,33,2025-11-08 14:15:22,9992.43,,
9,10.0,iouring,4,10GB_iouring,tpch_db_10gb,NA,CRD,30,1,279,4.65,COMPLETED,418,2025-11-08 14:17:14,2860.28,,
10,0.1,sync,5,100MB_sync,tpch_db_100mb,NA,CRD,30,1,310,5.17,COMPLETED,33,2025-11-08 14:25:32,9156.79,,
11,0.01,sync,2,10MB_sync,tpch_db_10mb,NA,CRD,30,1,341,5.68,COMPLETED,27,2025-11-08 14:27:22,5487.41,,
12,1.0,sync,6,1GB_sync,tpch_db_1gb,NA,CRD,30,1,372,6.20,COMPLETED,74,2025-11-08 14:29:06,6528.61,,
13,10.0,iouring,6,10GB_iouring,tpch_db_10gb,NA,CRD,30,1,403,6.72,COMPLETED,420,2025-11-08 14:31:39,2872.60,,
14,10.0,sync,1,10GB_sync,tpch_db_10gb,NA,CRD,30,1,434,7.23,COMPLETED,579,2025-11-08 14:39:59,2088.54,,
15,1.0,iouring,3,1GB_iouring,tpch_db_1gb,NA,CRD,30,1,465,7.75,COMPLETED,77,2025-11-08 14:50:58,6510.41,,
16,0.01,sync,1,10MB_sync,tpch_db_10mb,NA,CRD,30,1,496,8.27,COMPLETED,28,2025-11-08 14:53:35,5370.86,,
17,1.0,iouring,6,1GB_iouring,tpch_db_1gb,NA,CRD,30,1,527,8.78,COMPLETED,82,2025-11-08 14:55:22,6198.53,,
18,0.1,sync,2,100MB_sync,tpch_db_100mb,NA,CRD,30,1,558,9.30,COMPLETED,34,2025-11-08 14:58:03,8942.91,,
19,10.0,sync,4,10GB_sync,tpch_db_10gb,NA,CRD,30,1,589,9.82,COMPLETED,571,2025-11-08 14:59:53,2109.54,,
20,1.0,bgworkers,3,1GB_bgworkers,tpch_db_1gb,NA,CRD,30,1,620,10.33,COMPLETED,76,2025-11-08 15:10:45,6268.58,,
21,10.0,iouring,3,10GB_iouring,tpch_db_10gb,NA,CRD,30,1,651,10.85,COMPLETED,416,2025-11-08 15:13:21,2892.39,,
22,0.1,bgworkers,5,100MB_bgworkers,tpch_db_100mb,NA,CRD,30,1,682,11.37,COMPLETED,33,2025-11-08 15:21:37,9678.45,,
23,0.1,iouring,3,100MB_iouring,tpch_db_100mb,NA,CRD,30,1,713,11.88,COMPLETED,32,2025-11-08 15:23:29,9690.51,,
24,0.01,bgworkers,4,10MB_bgworkers,tpch_db_10mb,NA,CRD,30,1,744,12.40,COMPLETED,28,2025-11-08 15:25:20,5382.98,,
25,1.0,iouring,5,1GB_iouring,tpch_db_1gb,NA,CRD,30,1,775,12.92,COMPLETED,83,2025-11-08 15:27:07,6080.46,,
26,0.01,sync,6,10MB_sync,tpch_db_10mb,NA,CRD,30,1,806,13.43,COMPLETED,28,2025-11-08 15:29:50,5300.03,,
27,0.01,sync,3,10MB_sync,tpch_db_10mb,NA,CRD,30,1,837,13.95,COMPLETED,28,2025-11-08 15:31:34,5349.95,,
28,0.01,bgworkers,1,10MB_bgworkers,tpch_db_10mb,NA,CRD,30,1,868,14.47,COMPLETED,28,2025-11-08 15:33:21,5493.26,,
29,0.01,iouring,6,10MB_iouring,tpch_db_10mb,NA,CRD,30,1,899,14.98,COMPLETED,27,2025-11-08 15:35:08,5530.18,,
30,1.0,iouring,4,1GB_iouring,tpch_db_1gb,NA,CRD,30,1,930,15.50,COMPLETED,88,2025-11-08 15:36:51,5529.26,,
31,10.0,iouring,1,10GB_iouring,tpch_db_10gb,NA,CRD,30,1,961,16.02,COMPLETED,423,2025-11-08 15:39:37,2864.44,,
32,0.1,sync,4,100MB_sync,tpch_db_100mb,NA,CRD,30,1,992,16.53,COMPLETED,33,2025-11-08 15:48:00,9170.60,,
33,0.1,bgworkers,2,100MB_bgworkers,tpch_db_100mb,NA,CRD,30,1,1023,17.05,COMPLETED,32,2025-11-08 15:49:52,10113.49,,
34,1.0,bgworkers,5,1GB_bgworkers,tpch_db_1gb,NA,CRD,30,1,1054,17.57,COMPLETED,86,2025-11-08 15:51:41,5317.44,,
35,0.01,iouring,4,10MB_iouring,tpch_db_10mb,NA,CRD,30,1,1085,18.08,COMPLETED,28,2025-11-08 15:54:27,5231.83,,
36,10.0,iouring,2,10GB_iouring,tpch_db_10gb,NA,CRD,30,1,1116,18.60,COMPLETED,421,2025-11-08 15:56:12,2858.62,,
37,10.0,bgworkers,6,10GB_bgworkers,tpch_db_10gb,NA,CRD,30,1,1147,19.12,COMPLETED,1007,2025-11-08 16:04:34,1455.25,,
38,10.0,bgworkers,1,10GB_bgworkers,tpch_db_10gb,NA,CRD,30,1,1178,19.63,COMPLETED,1033,2025-11-08 16:22:39,1425.73,,
39,1.0,bgworkers,4,1GB_bgworkers,tpch_db_1gb,NA,CRD,30,1,1209,20.15,COMPLETED,97,2025-11-08 16:41:10,5105.78,,
40,10.0,sync,5,10GB_sync,tpch_db_10gb,NA,CRD,30,1,1240,20.67,COMPLETED,575,2025-11-08 16:44:07,2101.65,,
41,0.1,iouring,6,100MB_iouring,tpch_db_100mb,NA,CRD,30,1,1271,21.18,COMPLETED,33,2025-11-08 16:55:02,9208.62,,
42,0.1,bgworkers,1,100MB_bgworkers,tpch_db_100mb,NA,CRD,30,1,1302,21.70,COMPLETED,33,2025-11-08 16:56:54,9716.01,,
43,0.01,iouring,2,10MB_iouring,tpch_db_10mb,NA,CRD,30,1,1333,22.22,COMPLETED,27,2025-11-08 16:58:46,5431.15,,
44,1.0,sync,3,1GB_sync,tpch_db_1gb,NA,CRD,30,1,1364,22.73,COMPLETED,90,2025-11-08 17:00:32,5012.30,,
45,1.0,sync,4,1GB_sync,tpch_db_1gb,NA,CRD,30,1,1395,23.25,COMPLETED,100,2025-11-08 17:03:20,4668.76,,
46,0.1,iouring,5,100MB_iouring,tpch_db_100mb,NA,CRD,30,1,1426,23.77,COMPLETED,34,2025-11-08 17:06:20,8897.17,,
47,0.1,iouring,1,100MB_iouring,tpch_db_100mb,NA,CRD,30,1,1457,24.28,COMPLETED,33,2025-11-08 17:08:10,8927.38,,
48,0.1,bgworkers,4,100MB_bgworkers,tpch_db_100mb,NA,CRD,30,1,1488,24.80,COMPLETED,33,2025-11-08 17:10:02,9228.81,,
49,10.0,sync,3,10GB_sync,tpch_db_10gb,NA,CRD,30,1,1519,25.32,COMPLETED,573,2025-11-08 17:11:54,2112.74,,
50,0.01,sync,5,10MB_sync,tpch_db_10mb,NA,CRD,30,1,1550,25.83,COMPLETED,28,2025-11-08 17:22:45,5266.81,,
51,0.01,sync,4,10MB_sync,tpch_db_10mb,NA,CRD,30,1,1581,26.35,COMPLETED,29,2025-11-08 17:24:29,5238.89,,
52,10.0,sync,2,10GB_sync,tpch_db_10gb,NA,CRD,30,1,1612,26.87,COMPLETED,571,2025-11-08 17:26:14,2135.69,,
53,0.1,sync,1,100MB_sync,tpch_db_100mb,NA,CRD,30,1,1643,27.38,COMPLETED,33,2025-11-08 17:37:03,8523.82,,
54,1.0,iouring,1,1GB_iouring,tpch_db_1gb,NA,CRD,30,1,1674,27.90,COMPLETED,110,2025-11-08 17:38:55,4463.92,,
55,0.01,iouring,1,10MB_iouring,tpch_db_10mb,NA,CRD,30,1,1705,28.42,COMPLETED,28,2025-11-08 17:42:02,5392.39,,
56,1.0,bgworkers,2,1GB_bgworkers,tpch_db_1gb,NA,CRD,30,1,1736,28.93,COMPLETED,96,2025-11-08 17:43:49,4497.00,,
57,10.0,bgworkers,5,10GB_bgworkers,tpch_db_10gb,NA,CRD,30,1,1767,29.45,COMPLETED,828,2025-11-08 17:46:43,1780.32,,
58,0.1,sync,3,100MB_sync,tpch_db_100mb,NA,CRD,30,1,1798,29.97,COMPLETED,34,2025-11-08 18:01:52,8484.90,,
59,10.0,bgworkers,3,10GB_bgworkers,tpch_db_10gb,NA,CRD,30,1,1829,30.48,COMPLETED,971,2025-11-08 18:03:44,1508.58,,
60,10.0,iouring,5,10GB_iouring,tpch_db_10gb,NA,CRD,30,1,1860,31.00,COMPLETED,419,2025-11-08 18:21:16,2847.84,,
61,0.01,bgworkers,2,10MB_bgworkers,tpch_db_10mb,NA,CRD,30,1,1891,31.52,COMPLETED,28,2025-11-08 18:29:35,5279.92,,
62,1.0,sync,2,1GB_sync,tpch_db_1gb,NA,CRD,30,1,1922,32.03,COMPLETED,106,2025-11-08 18:31:22,4278.70,,
63,0.1,sync,6,100MB_sync,tpch_db_100mb,NA,CRD,30,1,1953,32.55,COMPLETED,34,2025-11-08 18:34:25,8466.65,,
64,0.01,bgworkers,5,10MB_bgworkers,tpch_db_10mb,NA,CRD,30,1,1984,33.07,COMPLETED,29,2025-11-08 18:36:18,5173.96,,
65,0.1,iouring,2,100MB_iouring,tpch_db_100mb,NA,CRD,30,1,2015,33.58,COMPLETED,33,2025-11-08 18:38:06,8504.86,,
66,1.0,iouring,2,1GB_iouring,tpch_db_1gb,NA,CRD,30,1,2046,34.10,COMPLETED,115,2025-11-08 18:39:56,4368.66,,
67,0.01,bgworkers,6,10MB_bgworkers,tpch_db_10mb,NA,CRD,30,1,2077,34.62,COMPLETED,29,2025-11-08 18:43:11,5094.35,,
68,10.0,bgworkers,2,10GB_bgworkers,tpch_db_10gb,NA,CRD,30,1,2108,35.13,COMPLETED,985,2025-11-08 18:44:56,1491.53,,
69,10.0,bgworkers,4,10GB_bgworkers,tpch_db_10gb,NA,CRD,30,1,2139,35.65,COMPLETED,920,2025-11-08 19:02:39,1587.91,,
70,0.1,bgworkers,6,100MB_bgworkers,tpch_db_100mb,NA,CRD,30,1,2170,36.17,COMPLETED,34,2025-11-08 19:19:17,8989.26,,
71,1.0,sync,5,1GB_sync,tpch_db_1gb,NA,CRD,30,1,2201,36.68,COMPLETED,105,2025-11-08 19:21:10,3923.33,,
72,0.1,iouring,4,100MB_iouring,tpch_db_100mb,NA,CRD,30,1,2232,37.20,COMPLETED,34,2025-11-08 19:24:15,8325.56,,
