run_number,io_method,replicate,database_size_gb,database_size_label,database_name,status,runtime_seconds,executed_at,qphh_metric,power_metric,throughput_metric
1,iouring,9,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-25 05:36:35,11204.14,10164.22,12350.46
2,iouring,4,30.000,30GB,tpch_db_30gb,COMPLETED,5173,2026-06-25 05:43:02,3195.10,3988.63,2559.44
3,iouring,10,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-25 07:10:45,11267.33,9998.78,12696.81
4,bgworkers,10,30.000,30GB,tpch_db_30gb,COMPLETED,5435,2026-06-25 07:17:42,3095.04,3981.16,2406.16
5,iouring,7,10.000,10GB,tpch_db_10gb,COMPLETED,337,2026-06-25 08:51:18,12082.01,10694.87,13649.07
6,sync,9,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-25 08:58:26,11368.84,10152.14,12731.36
7,iouring,1,30.000,30GB,tpch_db_30gb,COMPLETED,5130,2026-06-25 09:05:27,3211.33,3977.10,2593.00
8,bgworkers,4,30.000,30GB,tpch_db_30gb,COMPLETED,5553,2026-06-25 10:37:21,3050.35,3977.58,2339.27
9,sync,11,10.000,10GB,tpch_db_10gb,COMPLETED,357,2026-06-25 12:12:57,11589.79,10753.32,12491.32
10,sync,8,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-25 12:20:23,11074.51,9924.94,12357.23
11,bgworkers,5,30.000,30GB,tpch_db_30gb,COMPLETED,5325,2026-06-25 12:27:27,3139.27,3985.82,2472.51
12,bgworkers,8,10.000,10GB,tpch_db_10gb,COMPLETED,358,2026-06-25 13:59:03,11490.17,10553.20,12510.32
13,bgworkers,2,30.000,30GB,tpch_db_30gb,COMPLETED,5434,2026-06-25 14:11:22,3100.13,3998.86,2403.39
14,sync,10,10.000,10GB,tpch_db_10gb,COMPLETED,351,2026-06-25 15:44:59,11677.94,10788.48,12640.74
15,bgworkers,7,30.000,30GB,tpch_db_30gb,COMPLETED,5324,2026-06-25 15:57:19,3145.02,3996.73,2474.81
16,sync,1,30.000,30GB,tpch_db_30gb,COMPLETED,5321,2026-06-25 17:32:33,3095.66,3855.05,2485.87
17,iouring,3,10.000,10GB,tpch_db_10gb,COMPLETED,339,2026-06-25 19:04:10,11961.49,10523.39,13596.12
18,sync,12,10.000,10GB,tpch_db_10gb,COMPLETED,336,2026-06-25 19:12:49,12205.20,10800.88,13792.10
19,iouring,12,10.000,10GB,tpch_db_10gb,COMPLETED,355,2026-06-25 19:21:24,11526.50,10612.43,12519.29
20,bgworkers,2,10.000,10GB,tpch_db_10gb,COMPLETED,354,2026-06-25 19:30:20,11653.60,10694.72,12698.44
21,bgworkers,6,30.000,30GB,tpch_db_30gb,COMPLETED,5084,2026-06-25 19:42:35,3246.09,3991.43,2639.93
22,iouring,1,10.000,10GB,tpch_db_10gb,COMPLETED,356,2026-06-25 21:10:20,11511.16,10654.31,12436.92
23,bgworkers,9,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-25 21:17:48,10922.39,9902.42,12047.42
24,bgworkers,8,30.000,30GB,tpch_db_30gb,COMPLETED,5081,2026-06-25 21:24:44,3243.06,3977.47,2644.26
25,sync,1,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-25 22:50:58,10897.46,9791.96,12127.77
26,sync,6,10.000,10GB,tpch_db_10gb,COMPLETED,340,2026-06-25 22:54:31,12069.00,10790.21,13499.35
27,iouring,10,10.000,10GB,tpch_db_10gb,COMPLETED,350,2026-06-25 23:03:10,11679.18,10572.47,12901.72
28,sync,5,10.000,10GB,tpch_db_10gb,COMPLETED,343,2026-06-25 23:11:58,11920.70,10799.17,13158.70
29,sync,3,30.000,30GB,tpch_db_30gb,COMPLETED,4855,2026-06-25 23:24:03,3301.89,3849.22,2832.40
30,sync,4,10.000,10GB,tpch_db_10gb,COMPLETED,348,2026-06-26 00:47:51,11824.68,10641.10,13139.89
31,bgworkers,7,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-26 00:55:10,11018.36,9939.51,12214.32
32,sync,2,30.000,30GB,tpch_db_30gb,COMPLETED,5427,2026-06-26 01:02:08,3050.78,3845.61,2420.23
33,iouring,11,30.000,30GB,tpch_db_30gb,COMPLETED,5131,2026-06-26 02:39:06,3208.51,3973.14,2591.04
34,iouring,8,30.000,30GB,tpch_db_30gb,COMPLETED,5242,2026-06-27 04:11:50,3158.08,3962.82,2516.76
35,iouring,10,30.000,30GB,tpch_db_30gb,COMPLETED,5259,2026-06-27 05:45:33,3152.97,3969.21,2504.58
36,iouring,4,10.000,10GB,tpch_db_10gb,COMPLETED,366,2026-06-26 06:58:41,11186.63,10513.15,11903.26
37,bgworkers,11,10.000,10GB,tpch_db_10gb,COMPLETED,364,2026-06-26 07:07:46,11266.67,10568.25,12011.24
38,sync,4,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-26 07:15:21,11690.68,10115.95,13510.56
39,bgworkers,12,30.000,30GB,tpch_db_30gb,COMPLETED,5563,2026-06-26 07:22:21,3046.22,3977.34,2333.08
40,bgworkers,5,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-26 08:56:33,11604.20,9841.77,13682.23
41,sync,4,30.000,30GB,tpch_db_30gb,COMPLETED,5348,2026-06-26 09:03:35,3085.12,3858.64,2466.66
42,bgworkers,8,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-26 10:34:15,11168.19,9889.14,12612.68
43,iouring,2,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-26 10:36:13,11264.66,10018.39,12665.97
44,sync,6,30.000,30GB,tpch_db_30gb,COMPLETED,5328,2026-06-26 10:43:16,3091.25,3849.57,2482.31
45,sync,11,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-26 12:13:33,11183.46,10089.67,12395.82
46,bgworkers,9,10.000,10GB,tpch_db_10gb,COMPLETED,352,2026-06-26 12:17:05,11628.20,10365.93,13044.17
47,iouring,12,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-26 12:24:28,11381.48,10256.11,12630.33
48,iouring,5,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-26 12:26:22,11272.01,10186.54,12473.15
49,bgworkers,11,30.000,30GB,tpch_db_30gb,COMPLETED,5058,2026-06-26 12:33:27,3255.67,3982.84,2661.26
50,bgworkers,3,10.000,10GB,tpch_db_10gb,COMPLETED,356,2026-06-26 14:00:46,11517.38,10251.93,12939.02
51,iouring,6,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-26 14:08:13,11195.66,10120.23,12385.37
52,iouring,7,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-26 14:10:08,11332.41,10235.16,12547.28
53,sync,11,30.000,30GB,tpch_db_30gb,COMPLETED,5317,2026-06-26 14:17:11,3095.22,3849.50,2488.73
54,bgworkers,12,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-26 15:47:21,10746.56,9864.93,11706.98
55,iouring,2,10.000,10GB,tpch_db_10gb,COMPLETED,359,2026-06-26 15:50:52,11366.16,10555.51,12239.07
56,iouring,12,30.000,30GB,tpch_db_30gb,COMPLETED,5243,2026-06-26 16:03:13,3159.76,3968.15,2516.06
57,bgworkers,7,10.000,10GB,tpch_db_10gb,COMPLETED,358,2026-06-26 17:33:32,11493.61,10471.23,12615.82
58,sync,3,1.000,1GB,tpch_db_1gb,COMPLETED,30,2026-06-26 17:41:02,10565.04,9741.33,11458.41
59,iouring,3,30.000,30GB,tpch_db_30gb,COMPLETED,5188,2026-06-26 17:48:04,3178.74,3952.73,2556.30
60,iouring,4,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-26 19:16:01,11212.02,10052.68,12505.07
61,sync,8,30.000,30GB,tpch_db_30gb,COMPLETED,5300,2026-06-26 19:22:58,3101.34,3844.45,2501.86
62,sync,9,30.000,30GB,tpch_db_30gb,COMPLETED,5340,2026-06-26 20:57:43,3084.83,3846.46,2474.01
63,sync,1,10.000,10GB,tpch_db_10gb,COMPLETED,337,2026-06-26 22:29:40,12167.80,10763.14,13755.78
64,bgworkers,1,30.000,30GB,tpch_db_30gb,COMPLETED,4912,2026-06-26 22:41:43,3319.31,3971.12,2774.48
65,sync,12,1.000,1GB,tpch_db_1gb,COMPLETED,30,2026-06-27 00:05:07,11056.95,10036.95,12180.62
66,sync,10,1.000,1GB,tpch_db_1gb,COMPLETED,27,2026-06-27 00:07:04,11454.38,9905.15,13245.91
67,bgworkers,2,1.000,1GB,tpch_db_1gb,COMPLETED,29,2026-06-27 00:09:01,10956.98,9739.53,12326.61
68,sync,2,10.000,10GB,tpch_db_10gb,COMPLETED,341,2026-06-27 00:12:33,11983.03,10680.77,13444.07
69,iouring,11,10.000,10GB,tpch_db_10gb,COMPLETED,356,2026-06-27 00:21:14,11467.06,10563.03,12448.46
70,iouring,8,1.000,1GB,tpch_db_1gb,COMPLETED,28,2026-06-27 00:28:39,11420.86,10259.27,12713.98
