io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
sync,1,1,1,POWER,0,1,1,1.138806584,600,2025-11-02 02:27:46
sync,1,1,1,POWER,0,2,24,.075421081,100,2025-11-02 02:29:54
sync,1,1,1,THROUGHPUT,R,1,45,.441181419,600,2025-11-02 02:29:54
sync,1,1,1,THROUGHPUT,R,2,46,.074052789,100,2025-11-02 02:29:55
sync,1,1,1,THROUGHPUT,R,1,47,.453539238,600,2025-11-02 02:29:55
sync,1,1,1,THROUGHPUT,R,2,48,.070753191,100,2025-11-02 02:29:55
sync,1,1,1,THROUGHPUT,R,1,49,.444257203,600,2025-11-02 02:29:56
sync,1,1,1,THROUGHPUT,R,2,50,.075744330,100,2025-11-02 02:29:56
sync,1,1,1,THROUGHPUT,R,1,51,.449089220,600,2025-11-02 02:29:56
sync,1,1,1,THROUGHPUT,R,2,52,.080032326,100,2025-11-02 02:29:56
