io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
iouring,1,1,1,POWER,0,1,2,.067870098,1,2025-11-13 00:40:29
iouring,1,1,1,POWER,0,2,3,22.889448715,19091,2025-11-13 00:40:53
iouring,1,1,1,POWER,0,3,4,46.553859706,452176,2025-11-13 00:41:41
iouring,1,1,1,POWER,0,4,5,70.517031446,6,2025-11-13 00:42:52
iouring,1,1,1,POWER,0,5,6,30.567485797,6,2025-11-13 00:43:24
iouring,1,1,1,POWER,0,6,7,22.420076382,2,2025-11-13 00:43:47
iouring,1,1,1,POWER,0,7,8,32.198366330,5,2025-11-13 00:44:20
iouring,1,1,1,POWER,0,8,9,63.696759824,3,2025-11-13 00:45:25
iouring,1,1,1,POWER,0,9,10,348.102094471,176,2025-11-13 00:51:14
iouring,1,1,1,POWER,0,10,11,40.729085576,1509433,2025-11-13 00:51:56
iouring,1,1,1,POWER,0,11,12,28.299676328,38781,2025-11-13 00:52:26
iouring,1,1,1,POWER,0,12,13,23.629911598,3,2025-11-13 00:52:50
iouring,1,1,1,POWER,0,13,14,65.804434984,46,2025-11-13 00:53:57
iouring,1,1,1,POWER,0,14,15,24.347370867,2,2025-11-13 00:54:23
iouring,1,1,1,POWER,0,15,16,51.323519514,4,2025-11-13 00:55:15
iouring,1,1,1,POWER,0,16,17,23.615712408,27841,2025-11-13 00:55:40
iouring,1,1,1,POWER,0,17,18,3.376946686,2,2025-11-13 00:55:44
iouring,1,1,1,POWER,0,18,19,175.365169203,263,2025-11-13 00:58:40
iouring,1,1,1,POWER,0,19,20,17.599317292,2,2025-11-13 00:58:59
iouring,1,1,1,POWER,0,20,21,4449.942783310,7178,2025-11-13 02:13:10
iouring,1,1,1,POWER,0,21,22,29.333557359,16080,2025-11-13 02:13:40
iouring,1,1,1,POWER,0,22,23,6.166205418,8,2025-11-13 02:13:48
iouring,1,1,1,THROUGHPUT,2,18,23,187.849797280,263,2025-11-13 02:17:06
iouring,1,1,1,THROUGHPUT,2,8,24,56.167479488,3,2025-11-13 02:18:02
iouring,1,1,1,THROUGHPUT,2,22,25,10.658521637,8,2025-11-13 02:18:12
iouring,1,1,1,THROUGHPUT,2,15,26,63.346305372,4,2025-11-13 02:19:16
iouring,1,1,1,THROUGHPUT,2,3,27,35.501223941,452176,2025-11-13 02:19:51
iouring,1,1,1,THROUGHPUT,2,10,28,44.646120694,1509433,2025-11-13 02:20:36
iouring,1,1,1,THROUGHPUT,2,4,29,58.572846111,6,2025-11-13 02:21:35
iouring,1,1,1,THROUGHPUT,2,7,30,24.341734594,5,2025-11-13 02:21:59
iouring,1,1,1,THROUGHPUT,2,16,31,24.011712102,27841,2025-11-13 02:22:23
iouring,1,1,1,THROUGHPUT,2,11,32,17.596634542,38781,2025-11-13 02:22:41
iouring,1,1,1,THROUGHPUT,2,17,33,3.662315955,2,2025-11-13 02:22:44
iouring,1,1,1,THROUGHPUT,2,9,34,430.048812966,176,2025-11-13 02:29:55
iouring,1,1,1,THROUGHPUT,2,21,35,27.650821162,16080,2025-11-13 02:30:22
iouring,1,1,1,THROUGHPUT,2,14,36,22.244908837,2,2025-11-13 02:30:44
iouring,1,1,1,THROUGHPUT,2,12,37,22.156781405,3,2025-11-13 02:31:07
iouring,1,1,1,THROUGHPUT,2,5,38,25.556301399,6,2025-11-13 02:31:32
iouring,1,1,1,THROUGHPUT,2,1,39,.056082471,1,2025-11-13 02:31:32
iouring,1,1,1,THROUGHPUT,2,19,40,18.556010198,2,2025-11-13 02:31:51
iouring,1,1,1,THROUGHPUT,2,13,41,73.943347676,46,2025-11-13 02:33:05
iouring,1,1,1,THROUGHPUT,1,20,1,4701.102373660,7178,2025-11-13 03:32:19
iouring,1,1,1,THROUGHPUT,1,22,2,11.818018750,8,2025-11-13 03:32:31
iouring,1,1,1,THROUGHPUT,1,19,3,20.315221506,2,2025-11-13 03:32:51
iouring,1,1,1,THROUGHPUT,1,10,4,43.488430670,1509433,2025-11-13 03:33:35
iouring,1,1,1,THROUGHPUT,1,21,5,28.454340843,16080,2025-11-13 03:34:03
iouring,1,1,1,THROUGHPUT,1,18,6,180.876613403,263,2025-11-13 03:37:04
iouring,1,1,1,THROUGHPUT,1,8,7,56.593977266,3,2025-11-13 03:38:01
iouring,1,1,1,THROUGHPUT,1,5,8,24.994118661,6,2025-11-13 03:38:26
iouring,1,1,1,THROUGHPUT,1,6,9,21.774782246,2,2025-11-13 03:38:47
iouring,1,1,1,THROUGHPUT,1,7,10,23.750368127,5,2025-11-13 03:39:11
iouring,1,1,1,THROUGHPUT,1,14,11,21.921588656,2,2025-11-13 03:39:33
iouring,1,1,1,THROUGHPUT,1,13,12,69.482647508,46,2025-11-13 03:40:43
iouring,1,1,1,THROUGHPUT,1,2,13,18.937325094,19091,2025-11-13 03:41:02
iouring,1,1,1,THROUGHPUT,1,1,14,.064486213,1,2025-11-13 03:41:02
iouring,1,1,1,THROUGHPUT,1,12,15,21.887062762,3,2025-11-13 03:41:24
iouring,1,1,1,THROUGHPUT,1,3,16,33.138197746,452176,2025-11-13 03:41:57
iouring,1,1,1,THROUGHPUT,1,4,17,57.993428593,6,2025-11-13 03:42:55
iouring,1,1,1,THROUGHPUT,1,17,18,4.238750366,2,2025-11-13 03:42:59
iouring,1,1,1,THROUGHPUT,1,11,19,17.192641755,38781,2025-11-13 03:43:16
iouring,1,1,1,THROUGHPUT,1,16,20,24.890917208,27841,2025-11-13 03:43:41
iouring,1,1,1,THROUGHPUT,1,15,21,49.620698619,4,2025-11-13 03:44:31
iouring,1,1,1,THROUGHPUT,2,20,42,4710.271138257,7178,2025-11-13 03:51:35
iouring,1,1,1,THROUGHPUT,1,9,22,434.489983265,176,2025-11-13 03:51:45
