io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,56.716977500,600,2025-11-10 11:09:34
iouring,1,1,1,POWER,0,2,24,9.986691558,100,2025-11-10 12:50:01
iouring,1,1,1,THROUGHPUT,R,1,45,42.109275174,600,2025-11-10 12:50:44
iouring,1,1,1,THROUGHPUT,R,2,46,12.322263197,100,2025-11-10 12:50:56
iouring,1,1,1,THROUGHPUT,R,1,47,38.236952901,600,2025-11-10 12:51:34
iouring,1,1,1,THROUGHPUT,R,2,48,13.426310865,100,2025-11-10 12:51:48
iouring,1,1,1,THROUGHPUT,R,1,49,35.079848845,600,2025-11-10 12:52:23
iouring,1,1,1,THROUGHPUT,R,2,50,13.562192229,100,2025-11-10 12:52:36
iouring,1,1,1,THROUGHPUT,R,1,51,34.721143286,600,2025-11-10 12:53:11
iouring,1,1,1,THROUGHPUT,R,2,52,10.105014650,100,2025-11-10 12:53:21
