io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
bgworkers,1,1,1,POWER,0,1,1,1.398230086,600,2025-11-04 21:04:31
bgworkers,1,1,1,POWER,0,2,24,.109771746,100,2025-11-04 21:04:58
bgworkers,1,1,1,THROUGHPUT,R,1,45,.356717788,600,2025-11-04 21:04:59
bgworkers,1,1,1,THROUGHPUT,R,2,46,.103535180,100,2025-11-04 21:04:59
bgworkers,1,1,1,THROUGHPUT,R,1,47,.345047225,600,2025-11-04 21:04:59
bgworkers,1,1,1,THROUGHPUT,R,2,48,.096913530,100,2025-11-04 21:04:59
bgworkers,1,1,1,THROUGHPUT,R,1,49,.343563835,600,2025-11-04 21:05:00
bgworkers,1,1,1,THROUGHPUT,R,2,50,.101555663,100,2025-11-04 21:05:00
bgworkers,1,1,1,THROUGHPUT,R,1,51,.127935768,600,2025-11-04 21:05:00
bgworkers,1,1,1,THROUGHPUT,R,2,52,.095255152,100,2025-11-04 21:05:00
