io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
bgworkers,1,1,1,POWER,0,1,2,.068146907,1,2025-11-02 01:49:33
bgworkers,1,1,1,POWER,0,2,3,.096337115,7,2025-11-02 01:49:34
bgworkers,1,1,1,POWER,0,3,4,.190011483,121,2025-11-02 01:49:35
bgworkers,1,1,1,POWER,0,4,5,.102092292,6,2025-11-02 01:49:36
bgworkers,1,1,1,POWER,0,5,6,.097770702,6,2025-11-02 01:49:37
bgworkers,1,1,1,POWER,0,6,7,.089824701,2,2025-11-02 01:49:38
bgworkers,1,1,1,POWER,0,7,8,.094684918,5,2025-11-02 01:49:39
bgworkers,1,1,1,POWER,0,8,9,.097342778,3,2025-11-02 01:49:41
bgworkers,1,1,1,POWER,0,9,10,.111332327,176,2025-11-02 01:49:42
bgworkers,1,1,1,POWER,0,10,11,.102936018,404,2025-11-02 01:49:43
bgworkers,1,1,1,POWER,0,11,12,.070128893,154,2025-11-02 01:49:44
bgworkers,1,1,1,POWER,0,12,13,.107097953,3,2025-11-02 01:49:45
bgworkers,1,1,1,POWER,0,13,14,.090739597,48,2025-11-02 01:49:46
bgworkers,1,1,1,POWER,0,14,15,.088970193,2,2025-11-02 01:49:47
bgworkers,1,1,1,POWER,0,15,16,.139743257,4,2025-11-02 01:49:49
bgworkers,1,1,1,POWER,0,16,17,.074254229,335,2025-11-02 01:49:50
bgworkers,1,1,1,POWER,0,17,18,.641542460,2,2025-11-02 01:49:51
bgworkers,1,1,1,POWER,0,18,19,.248008487,451,2025-11-02 01:49:53
bgworkers,1,1,1,POWER,0,19,20,.097337555,2,2025-11-02 01:49:54
bgworkers,1,1,1,POWER,0,20,21,80.879000266,2,2025-11-02 01:51:16
bgworkers,1,1,1,POWER,0,21,22,.281722034,6,2025-11-02 01:51:17
bgworkers,1,1,1,POWER,0,22,23,.078111164,1,2025-11-02 01:51:18
bgworkers,1,1,1,THROUGHPUT,1,1,1,.060551419,1,2025-11-02 01:51:19
bgworkers,1,1,1,THROUGHPUT,2,13,23,.075117514,48,2025-11-02 01:51:19
bgworkers,1,1,1,THROUGHPUT,1,4,2,.086773916,6,2025-11-02 01:51:19
bgworkers,1,1,1,THROUGHPUT,2,20,24,84.109899565,2,2025-11-02 01:52:43
bgworkers,1,1,1,THROUGHPUT,2,7,25,.092646965,5,2025-11-02 01:52:44
bgworkers,1,1,1,THROUGHPUT,2,6,26,.081110723,2,2025-11-02 01:52:44
bgworkers,1,1,1,THROUGHPUT,2,3,27,.091248410,121,2025-11-02 01:52:44
bgworkers,1,1,1,THROUGHPUT,2,4,28,.094045262,6,2025-11-02 01:52:44
bgworkers,1,1,1,THROUGHPUT,2,15,29,.100025869,4,2025-11-02 01:52:44
bgworkers,1,1,1,THROUGHPUT,2,19,30,.084795409,2,2025-11-02 01:52:44
bgworkers,1,1,1,THROUGHPUT,2,12,31,.086917563,3,2025-11-02 01:52:44
bgworkers,1,1,1,THROUGHPUT,2,21,32,.251118427,6,2025-11-02 01:52:44
bgworkers,1,1,1,THROUGHPUT,2,8,33,.087486612,3,2025-11-02 01:52:45
bgworkers,1,1,1,THROUGHPUT,2,10,34,.094114354,404,2025-11-02 01:52:45
