io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
sync,1,1,1,POWER,0,1,2,.072824800,1,2025-11-05 02:20:47
sync,1,1,1,POWER,0,2,3,.176134481,48,2025-11-05 02:20:48
sync,1,1,1,POWER,0,3,4,.538288368,1133,2025-11-05 02:20:50
sync,1,1,1,POWER,0,4,5,.122282645,6,2025-11-05 02:20:51
sync,1,1,1,POWER,0,5,6,.120740373,6,2025-11-05 02:20:52
sync,1,1,1,POWER,0,6,7,.232165382,2,2025-11-05 02:20:54
sync,1,1,1,POWER,0,7,8,.262446436,5,2025-11-05 02:20:55
sync,1,1,1,POWER,0,8,9,.146403149,3,2025-11-05 02:20:56
sync,1,1,1,POWER,0,9,10,.436388612,176,2025-11-05 02:20:58
sync,1,1,1,POWER,0,10,11,.237949119,3851,2025-11-05 02:20:59
sync,1,1,1,POWER,0,11,12,.102704517,1,2025-11-05 02:21:00
sync,1,1,1,POWER,0,12,13,.178764280,3,2025-11-05 02:21:01
sync,1,1,1,POWER,0,13,14,.250281924,46,2025-11-05 02:21:02
sync,1,1,1,POWER,0,14,15,.154638537,2,2025-11-05 02:21:04
sync,1,1,1,POWER,0,15,16,.237547200,4,2025-11-05 02:21:05
sync,1,1,1,POWER,0,16,17,.135930778,2783,2025-11-05 02:21:06
sync,1,1,1,POWER,0,17,18,.087026838,2,2025-11-05 02:21:07
sync,1,1,1,POWER,0,18,19,.700154453,4,2025-11-05 02:21:09
sync,1,1,1,POWER,0,19,20,.122384554,2,2025-11-05 02:21:10
sync,1,1,1,POWER,0,20,21,.285234271,17,2025-11-05 02:21:11
sync,1,1,1,POWER,0,21,22,.205383467,40,2025-11-05 02:21:13
sync,1,1,1,POWER,0,22,23,.138228611,7,2025-11-05 02:21:14
sync,1,1,1,THROUGHPUT,2,2,23,.086356440,48,2025-11-05 02:21:15
sync,1,1,1,THROUGHPUT,1,3,1,.157002890,1133,2025-11-05 02:21:15
sync,1,1,1,THROUGHPUT,2,15,24,.226609949,4,2025-11-05 02:21:15
sync,1,1,1,THROUGHPUT,1,9,2,.292754873,176,2025-11-05 02:21:15
sync,1,1,1,THROUGHPUT,2,7,25,.174432927,5,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,1,6,3,.147866384,2,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,2,21,26,.188462020,40,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,1,5,4,.134883983,6,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,2,14,27,.151360129,2,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,2,5,28,.104760453,6,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,1,10,5,.226558273,3851,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,1,22,6,.120220554,7,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,2,12,29,.178085657,3,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,1,19,7,.080256147,2,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,1,2,8,.076198640,48,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,1,11,9,.093879180,1,2025-11-05 02:21:16
sync,1,1,1,THROUGHPUT,1,1,10,.063913093,1,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,1,17,11,.075712974,2,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,1,20,12,.190072200,17,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,2,18,30,.741574924,4,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,1,15,13,.217585438,4,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,2,16,31,.130687151,2783,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,2,4,32,.116642724,6,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,2,1,33,.064179336,1,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,1,13,14,.236705512,46,2025-11-05 02:21:17
sync,1,1,1,THROUGHPUT,2,20,34,.185973173,17,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,2,9,35,.281216447,176,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,2,22,36,.140666232,7,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,1,18,15,.691835533,4,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,2,8,37,.146768274,3,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,1,14,16,.149503876,2,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,2,6,38,.136948410,2,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,2,11,39,.092926932,1,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,1,21,17,.195341233,40,2025-11-05 02:21:18
sync,1,1,1,THROUGHPUT,1,8,18,.140886948,3,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,2,13,40,.231557175,46,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,1,4,19,.108267454,6,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,2,17,41,.071510105,2,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,1,12,20,.183409946,3,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,2,3,42,.137553251,1133,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,2,19,43,.079873052,2,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,1,16,21,.126388504,2783,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,1,7,22,.177681662,5,2025-11-05 02:21:19
sync,1,1,1,THROUGHPUT,2,10,44,.233072504,3851,2025-11-05 02:21:19
