io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
iouring,1,1,1,POWER,0,14,2,15.290270526,2,2026-06-27 02:28:37
iouring,1,1,1,POWER,0,2,3,10.630103990,101,2026-06-27 02:28:47
iouring,1,1,1,POWER,0,9,4,101.922632707,176,2026-06-27 02:30:29
iouring,1,1,1,POWER,0,20,5,114.418125619,5427,2026-06-27 02:32:24
iouring,1,1,1,POWER,0,6,6,27.189749033,2,2026-06-27 02:32:51
iouring,1,1,1,POWER,0,17,7,37.029733341,2,2026-06-27 02:33:28
iouring,1,1,1,POWER,0,18,8,113.557455853,101,2026-06-27 02:35:21
iouring,1,1,1,POWER,0,8,9,45.678046202,3,2026-06-27 02:36:07
iouring,1,1,1,POWER,0,21,10,96.520941817,101,2026-06-27 02:37:44
iouring,1,1,1,POWER,0,13,11,70.990778923,47,2026-06-27 02:38:55
iouring,1,1,1,POWER,0,3,12,44.749250948,11,2026-06-27 02:39:39
iouring,1,1,1,POWER,0,22,13,1.356197138,8,2026-06-27 02:39:41
iouring,1,1,1,POWER,0,16,14,14.016256279,27841,2026-06-27 02:39:55
iouring,1,1,1,POWER,0,4,15,44.183120166,6,2026-06-27 02:40:39
iouring,1,1,1,POWER,0,11,16,8.520767083,26090,2026-06-27 02:40:47
iouring,1,1,1,POWER,0,15,17,243.493945060,4,2026-06-27 02:44:51
iouring,1,1,1,POWER,0,1,18,.038834740,1,2026-06-27 02:44:51
iouring,1,1,1,POWER,0,10,19,48.405464875,21,2026-06-27 02:45:39
iouring,1,1,1,POWER,0,19,20,3.634585880,2,2026-06-27 02:45:43
iouring,1,1,1,POWER,0,5,21,44.725341990,6,2026-06-27 02:46:28
iouring,1,1,1,POWER,0,7,22,104.374875707,5,2026-06-27 02:48:12
iouring,1,1,1,POWER,0,12,23,35.086395052,3,2026-06-27 02:48:47
iouring,1,1,1,THROUGHPUT,2,6,23,44.742817989,2,2026-06-27 02:50:40
iouring,1,1,1,THROUGHPUT,4,5,67,69.094324731,6,2026-06-27 02:51:04
iouring,1,1,1,THROUGHPUT,2,17,24,69.185645616,2,2026-06-27 02:51:49
iouring,1,1,1,THROUGHPUT,2,14,25,39.903947596,2,2026-06-27 02:52:29
iouring,1,1,1,THROUGHPUT,2,16,26,17.560888879,27841,2026-06-27 02:52:47
iouring,1,1,1,THROUGHPUT,2,19,27,11.841357661,2,2026-06-27 02:52:59
iouring,1,1,1,THROUGHPUT,2,10,28,47.735423901,21,2026-06-27 02:53:46
iouring,1,1,1,THROUGHPUT,4,21,68,220.455348649,101,2026-06-27 02:54:45
iouring,1,1,1,THROUGHPUT,4,14,69,76.320781233,2,2026-06-27 02:56:01
iouring,1,1,1,THROUGHPUT,4,19,70,26.734685245,2,2026-06-27 02:56:28
iouring,1,1,1,THROUGHPUT,2,9,29,319.864335519,176,2026-06-27 02:59:06
iouring,1,1,1,THROUGHPUT,2,2,30,0,0,2026-06-27 02:59:06
iouring,1,1,1,THROUGHPUT,3,8,45,880.790481823,3,2026-06-27 03:04:36
iouring,1,1,1,THROUGHPUT,3,5,46,43.468971268,6,2026-06-27 03:05:20
iouring,1,1,1,THROUGHPUT,3,4,47,50.075065726,6,2026-06-27 03:06:10
iouring,1,1,1,THROUGHPUT,3,6,48,31.342047579,2,2026-06-27 03:06:41
iouring,1,1,1,THROUGHPUT,3,17,49,47.417792695,2,2026-06-27 03:07:28
iouring,1,1,1,THROUGHPUT,1,21,1,1065.499561589,101,2026-06-27 03:07:41
iouring,1,1,1,THROUGHPUT,1,3,2,38.853669644,11,2026-06-27 03:08:20
iouring,1,1,1,THROUGHPUT,1,18,3,158.940452204,101,2026-06-27 03:10:59
iouring,1,1,1,THROUGHPUT,1,5,4,70.180278126,6,2026-06-27 03:12:09
iouring,1,1,1,THROUGHPUT,1,11,5,10.805943891,27439,2026-06-27 03:12:20
iouring,1,1,1,THROUGHPUT,3,7,50,447.126646927,5,2026-06-27 03:14:56
iouring,1,1,1,THROUGHPUT,3,1,51,.042584236,1,2026-06-27 03:14:56
iouring,1,1,1,THROUGHPUT,3,18,52,118.391897287,101,2026-06-27 03:16:54
iouring,1,1,1,THROUGHPUT,3,22,53,2.720591815,8,2026-06-27 03:16:57
iouring,1,1,1,THROUGHPUT,1,7,6,294.698147500,5,2026-06-27 03:17:14
iouring,1,1,1,THROUGHPUT,1,6,7,19.586518237,2,2026-06-27 03:17:34
iouring,1,1,1,THROUGHPUT,3,14,54,39.440313702,2,2026-06-27 03:17:36
iouring,1,1,1,THROUGHPUT,4,15,71,1333.561682807,4,2026-06-27 03:18:41
iouring,1,1,1,THROUGHPUT,4,17,72,49.388413548,2,2026-06-27 03:19:31
iouring,1,1,1,THROUGHPUT,3,9,55,137.105802792,176,2026-06-27 03:19:53
iouring,1,1,1,THROUGHPUT,3,10,56,45.157989291,21,2026-06-27 03:20:39
iouring,1,1,1,THROUGHPUT,4,12,73,83.556902152,3,2026-06-27 03:20:54
iouring,1,1,1,THROUGHPUT,4,6,74,33.431633183,2,2026-06-27 03:21:28
iouring,1,1,1,THROUGHPUT,4,4,75,30.440245129,6,2026-06-27 03:21:58
iouring,1,1,1,THROUGHPUT,1,20,8,278.127000499,5286,2026-06-27 03:22:12
iouring,1,1,1,THROUGHPUT,1,17,9,47.887244024,2,2026-06-27 03:23:00
iouring,1,1,1,THROUGHPUT,1,12,10,43.599622735,3,2026-06-27 03:23:44
iouring,1,1,1,THROUGHPUT,1,16,11,16.511405672,27841,2026-06-27 03:24:00
iouring,1,1,1,THROUGHPUT,4,9,76,170.104486564,176,2026-06-27 03:24:48
iouring,1,1,1,THROUGHPUT,4,8,77,62.562223424,3,2026-06-27 03:25:51
iouring,1,1,1,THROUGHPUT,4,16,78,14.224026468,27841,2026-06-27 03:26:05
iouring,1,1,1,THROUGHPUT,4,11,79,7.645667028,27370,2026-06-27 03:26:13
iouring,1,1,1,THROUGHPUT,4,2,80,9.640314612,101,2026-06-27 03:26:23
iouring,1,1,1,THROUGHPUT,4,10,81,46.362380379,21,2026-06-27 03:27:09
iouring,1,1,1,THROUGHPUT,4,18,82,117.087015112,101,2026-06-27 03:29:06
iouring,1,1,1,THROUGHPUT,4,1,83,.040208249,1,2026-06-27 03:29:06
iouring,1,1,1,THROUGHPUT,4,13,84,163.474072837,46,2026-06-27 03:31:50
iouring,1,1,1,THROUGHPUT,4,7,85,140.025362419,5,2026-06-27 03:34:10
iouring,1,1,1,THROUGHPUT,3,15,57,812.816296059,4,2026-06-27 03:34:11
iouring,1,1,1,THROUGHPUT,1,15,12,611.227758166,4,2026-06-27 03:34:11
iouring,1,1,1,THROUGHPUT,4,22,86,1.764390242,8,2026-06-27 03:34:11
iouring,1,1,1,THROUGHPUT,3,11,58,13.965247210,27697,2026-06-27 03:34:25
iouring,1,1,1,THROUGHPUT,4,3,87,49.434780698,11,2026-06-27 03:35:01
iouring,1,1,1,THROUGHPUT,4,20,88,98.093922437,5340,2026-06-27 03:36:39
iouring,1,1,1,THROUGHPUT,3,20,59,133.718797488,5382,2026-06-27 03:36:39
iouring,1,1,1,THROUGHPUT,3,2,60,11.645290589,101,2026-06-27 03:36:51
iouring,1,1,1,THROUGHPUT,3,21,61,109.290166892,101,2026-06-27 03:38:40
iouring,1,1,1,THROUGHPUT,3,19,62,5.816129605,2,2026-06-27 03:38:46
iouring,1,1,1,THROUGHPUT,1,13,13,336.090467028,46,2026-06-27 03:39:47
iouring,1,1,1,THROUGHPUT,3,13,63,73.691065273,46,2026-06-27 03:40:00
iouring,1,1,1,THROUGHPUT,1,10,14,38.847103005,21,2026-06-27 03:40:26
iouring,1,1,1,THROUGHPUT,3,16,64,34.614789955,27841,2026-06-27 03:40:34
iouring,1,1,1,THROUGHPUT,3,12,65,35.336822946,3,2026-06-27 03:41:09
iouring,1,1,1,THROUGHPUT,3,3,66,38.970226214,11,2026-06-27 03:41:48
iouring,1,1,1,THROUGHPUT,1,2,15,82.529192281,101,2026-06-27 03:41:49
iouring,1,1,1,THROUGHPUT,1,8,16,41.407625983,3,2026-06-27 03:42:30
iouring,1,1,1,THROUGHPUT,1,14,17,22.699856533,2,2026-06-27 03:42:53
iouring,1,1,1,THROUGHPUT,1,19,18,4.434240554,2,2026-06-27 03:42:57
iouring,1,1,1,THROUGHPUT,1,9,19,96.007815615,176,2026-06-27 03:44:33
iouring,1,1,1,THROUGHPUT,1,22,20,1.568253830,8,2026-06-27 03:44:35
iouring,1,1,1,THROUGHPUT,1,1,21,.034383076,1,2026-06-27 03:44:35
iouring,1,1,1,THROUGHPUT,1,4,22,30.220374643,6,2026-06-27 03:45:05
