io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,123.829481915,224279,2026-06-27 02:28:21
iouring,1,1,1,POWER,0,2,24,35.473318924,225566,2026-06-27 02:49:55
iouring,1,1,1,THROUGHPUT,R,1,89,298.200939838,225215,2026-06-27 02:55:25
iouring,1,1,1,THROUGHPUT,R,2,90,37.257812615,224161,2026-06-27 02:56:36
iouring,1,1,1,THROUGHPUT,R,1,91,143.106184126,224994,2026-06-27 02:59:32
iouring,1,1,1,THROUGHPUT,R,2,92,32.040372306,225685,2026-06-27 03:00:33
iouring,1,1,1,THROUGHPUT,R,1,93,101.228431138,225101,2026-06-27 03:02:43
iouring,1,1,1,THROUGHPUT,R,2,94,32.434566009,224998,2026-06-27 03:03:45
iouring,1,1,1,THROUGHPUT,R,1,95,322.471428204,224352,2026-06-27 03:09:51
iouring,1,1,1,THROUGHPUT,R,2,96,49.588736183,224958,2026-06-27 03:11:22
