query_number,iteration,execution_order,execution_time_seconds,status,row_count,timestamp
21,1,1,.474297,SUCCESS,49,2025-10-12 23:34:14
20,1,2,.391116,SUCCESS,11,2025-10-12 23:34:15
1,1,3,1.674985,SUCCESS,6,2025-10-12 23:34:19
13,1,4,.748352,SUCCESS,39,2025-10-12 23:34:21
7,1,5,.421738,SUCCESS,6,2025-10-12 23:34:23
5,1,6,.237533,SUCCESS,7,2025-10-12 23:34:24
14,1,7,.155068,SUCCESS,3,2025-10-12 23:34:25
8,1,8,.301028,SUCCESS,4,2025-10-12 23:34:26
2,1,9,.216107,SUCCESS,46,2025-10-12 23:34:27
4,1,10,.384987,SUCCESS,7,2025-10-12 23:34:29
6,1,11,.211217,SUCCESS,3,2025-10-12 23:34:30
10,1,12,.456746,SUCCESS,22,2025-10-12 23:34:31
15,1,13,.169441,SUCCESS,3,2025-10-12 23:34:32
19,1,14,.070132,SUCCESS,3,2025-10-12 23:34:33
3,1,15,.393275,SUCCESS,12,2025-10-12 23:34:34
17,1,16,.605686,SUCCESS,3,2025-10-12 23:34:36
18,1,17,2.611496,SUCCESS,7,2025-10-12 23:34:42
16,1,18,.353074,SUCCESS,2764,2025-10-12 23:34:43
22,1,19,.133870,SUCCESS,9,2025-10-12 23:34:44
11,1,20,.199472,SUCCESS,2543,2025-10-12 23:34:45
12,1,21,.624130,SUCCESS,4,2025-10-12 23:34:47
9,1,22,.920451,SUCCESS,177,2025-10-12 23:34:49
13,2,23,.704515,SUCCESS,39,2025-10-12 23:34:51
21,2,24,.558574,SUCCESS,49,2025-10-12 23:34:53
2,2,25,.227438,SUCCESS,46,2025-10-12 23:34:54
19,2,26,.071279,SUCCESS,3,2025-10-12 23:34:55
10,2,27,.483446,SUCCESS,22,2025-10-12 23:34:56
1,2,28,1.667769,SUCCESS,6,2025-10-12 23:35:00
12,2,29,.580029,SUCCESS,4,2025-10-12 23:35:02
4,2,30,.314206,SUCCESS,7,2025-10-12 23:35:03
15,2,31,.170368,SUCCESS,3,2025-10-12 23:35:04
14,2,32,.131264,SUCCESS,3,2025-10-12 23:35:05
11,2,33,.206087,SUCCESS,2543,2025-10-12 23:35:06
8,2,34,.342985,SUCCESS,4,2025-10-12 23:35:08
18,2,35,2.739965,SUCCESS,7,2025-10-12 23:35:14
3,2,36,.359518,SUCCESS,12,2025-10-12 23:35:15
9,2,37,.935112,SUCCESS,177,2025-10-12 23:35:17
7,2,38,.398593,SUCCESS,6,2025-10-12 23:35:19
5,2,39,.245044,SUCCESS,7,2025-10-12 23:35:20
20,2,40,.409243,SUCCESS,11,2025-10-12 23:35:21
17,2,41,.637208,SUCCESS,3,2025-10-12 23:35:23
