query_number,iteration,execution_order,execution_time_seconds,status,row_count,timestamp,worker_id
15,1,1,.706671,SUCCESS,4,2025-10-13 15:24:02,1
2,1,3,.669228,SUCCESS,47,2025-10-13 15:24:02,3
12,1,2,1.790668,SUCCESS,5,2025-10-13 15:24:03,2
8,1,4,2.002726,SUCCESS,5,2025-10-13 15:24:04,4
14,1,7,1.651839,SUCCESS,4,2025-10-13 15:24:04,3
22,1,10,2.616356,SUCCESS,10,2025-10-13 15:24:05,2
16,1,21,2.200990,SUCCESS,2765,2025-10-13 15:24:07,1
4,1,11,4.332389,SUCCESS,8,2025-10-13 15:24:07,3
19,1,20,2.546997,SUCCESS,4,2025-10-13 15:24:07,4
11,1,18,3.626022,SUCCESS,2544,2025-10-13 15:24:08,2
10,1,12,6.442711,SUCCESS,23,2025-10-13 15:24:09,4
5,1,14,6.315088,SUCCESS,8,2025-10-13 15:24:10,2
3,1,17,5.668231,SUCCESS,13,2025-10-13 15:24:10,1
6,1,16,5.948943,SUCCESS,4,2025-10-13 15:24:10,4
13,1,13,6.651910,SUCCESS,40,2025-10-13 15:24:10,1
17,1,6,8.019078,SUCCESS,4,2025-10-13 15:24:10,2
20,1,8,7.993273,SUCCESS,12,2025-10-13 15:24:10,4
18,1,5,9.283707,SUCCESS,8,2025-10-13 15:24:11,1
21,1,9,8.857019,SUCCESS,50,2025-10-13 15:24:11,1
7,1,22,6.298952,SUCCESS,7,2025-10-13 15:24:11,2
9,1,15,8.421592,SUCCESS,178,2025-10-13 15:24:12,3
1,1,19,8.711456,SUCCESS,7,2025-10-13 15:24:13,3
14,2,23,1.507619,SUCCESS,4,2025-10-13 15:24:15,3
6,2,27,1.770995,SUCCESS,4,2025-10-13 15:24:15,3
22,2,30,1.802820,SUCCESS,10,2025-10-13 15:24:16,2
2,2,34,2.745559,SUCCESS,47,2025-10-13 15:24:18,2
19,2,35,2.573586,SUCCESS,4,2025-10-13 15:24:18,3
12,2,25,4.568866,SUCCESS,5,2025-10-13 15:24:18,1
5,2,32,3.607991,SUCCESS,8,2025-10-13 15:24:18,4
8,2,28,4.374363,SUCCESS,5,2025-10-13 15:24:18,4
16,2,31,4.244574,SUCCESS,2765,2025-10-13 15:24:18,3
11,2,37,3.387682,SUCCESS,2544,2025-10-13 15:24:19,1
15,2,43,2.731780,SUCCESS,4,2025-10-13 15:24:19,3
7,2,29,5.798891,SUCCESS,7,2025-10-13 15:24:20,1
4,2,36,4.760156,SUCCESS,8,2025-10-13 15:24:20,4
17,2,42,3.904611,SUCCESS,4,2025-10-13 15:24:20,2
20,2,41,4.253339,SUCCESS,12,2025-10-13 15:24:21,1
3,2,44,3.823191,SUCCESS,13,2025-10-13 15:24:21,4
13,2,38,5.225976,SUCCESS,40,2025-10-13 15:24:21,2
21,2,39,5.116612,SUCCESS,50,2025-10-13 15:24:21,3
10,2,40,5.080518,SUCCESS,23,2025-10-13 15:24:21,4
9,2,33,6.670495,SUCCESS,178,2025-10-13 15:24:21,1
1,2,24,8.125331,SUCCESS,7,2025-10-13 15:24:21,4
18,2,26,8.833777,SUCCESS,8,2025-10-13 15:24:22,2
19,3,46,.769255,SUCCESS,4,2025-10-13 15:24:23,2
4,3,45,1.154684,SUCCESS,8,2025-10-13 15:24:24,1
5,3,48,1.587729,SUCCESS,8,2025-10-13 15:24:24,4
3,3,47,1.759589,SUCCESS,13,2025-10-13 15:24:24,3
15,3,50,1.508538,SUCCESS,4,2025-10-13 15:24:25,2
21,3,49,3.971015,SUCCESS,50,2025-10-13 15:24:27,1
8,3,53,3.365255,SUCCESS,5,2025-10-13 15:24:27,1
11,3,55,3.061016,SUCCESS,2544,2025-10-13 15:24:27,3
6,3,54,3.609672,SUCCESS,4,2025-10-13 15:24:27,2
2,3,56,3.408018,SUCCESS,47,2025-10-13 15:24:28,4
7,3,51,4.428881,SUCCESS,7,2025-10-13 15:24:28,3
10,3,52,4.435237,SUCCESS,23,2025-10-13 15:24:28,4
14,3,65,2.033966,SUCCESS,4,2025-10-13 15:24:28,1
22,3,63,2.535015,SUCCESS,10,2025-10-13 15:24:28,3
16,3,58,3.603568,SUCCESS,2765,2025-10-13 15:24:28,2
20,3,59,4.149306,SUCCESS,12,2025-10-13 15:24:29,3
